NU_ANO,NU_EDICAO,CO_IES,NO_IES,SG_IES,DS_ORGANIZACAO_ACADEMICA,DS_CATEGORIA_ADM,NO_CAMPUS,NO_MUNICIPIO_CAMPUS,SG_UF_CAMPUS,DS_REGIAO_CAMPUS,CO_IES_CURSO,NO_CURSO,DS_GRAU,DS_TURNO,TP_MOD_CONCORRENCIA,DS_MOD_CONCORRENCIA,NU_PERCENTUAL_BONUS,QT_VAGAS_CONCORRENCIA,NU_NOTACORTE,QT_INSCRICAO,Código IES,Instituição(IES),Município,UF_x,CI,IGC,MUNIC,COD,POP,UF_y,HIERARQUIA_URBANA,COD_HIERARQUIA_URBANA,GRUPO_HIERARQUIA_URBANA,IA,IA_Q5
2023,1,580,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Universidade,Pública Federal,Campus do Agreste Caruaru,Caruaru,PE,Nordeste,118098,QUÍMICA,Licenciatura,Noturno,A,Ampla concorrência,0,40,625.85,28.0,580.0,UNIVERSIDADE FEDERAL DE PERNAMBUCO (UFPE),Recife,PE,5,4,RECIFE,2611606,1488920.0,PE,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1 - Metrópole - Integrante de Arranjo Populacional,3002145.59898624,2294139.05
2023,1,580,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Universidade,Pública Federal,Campus do Agreste Caruaru,Caruaru,PE,Nordeste,1189778,MEDICINA,Bacharelado,Integral,A,Ampla concorrência,0,40,854.48,221.0,580.0,UNIVERSIDADE FEDERAL DE PERNAMBUCO (UFPE),Recife,PE,5,4,RECIFE,2611606,1488920.0,PE,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1 - Metrópole - Integrante de Arranjo Populacional,3002145.59898624,2294139.05
2023,1,580,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Universidade,Pública Federal,Campus do Agreste Caruaru,Caruaru,PE,Nordeste,101092,PEDAGOGIA,Licenciatura,Noturno,A,Ampla concorrência,0,40,652.25,150.0,580.0,UNIVERSIDADE FEDERAL DE PERNAMBUCO (UFPE),Recife,PE,5,4,RECIFE,2611606,1488920.0,PE,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1 - Metrópole - Integrante de Arranjo Populacional,3002145.59898624,2294139.05
2023,1,580,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Universidade,Pública Federal,Campus do Agreste Caruaru,Caruaru,PE,Nordeste,1321439,COMUNICAÇÃO SOCIAL,Bacharelado,Integral,A,Ampla concorrência,0,20,715.56,37.0,580.0,UNIVERSIDADE FEDERAL DE PERNAMBUCO (UFPE),Recife,PE,5,4,RECIFE,2611606,1488920.0,PE,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1 - Metrópole - Integrante de Arranjo Populacional,3002145.59898624,2294139.05
2023,1,580,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Universidade,Pública Federal,Campus do Agreste Caruaru,Caruaru,PE,Nordeste,118092,ENGENHARIA DE PRODUÇÃO,Bacharelado,Integral,A,Ampla concorrência,0,40,671.32,21.0,580.0,UNIVERSIDADE FEDERAL DE PERNAMBUCO (UFPE),Recife,PE,5,4,RECIFE,2611606,1488920.0,PE,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1 - Metrópole - Integrante de Arranjo Populacional,3002145.59898624,2294139.05
2023,1,580,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Universidade,Pública Federal,Campus do Agreste Caruaru,Caruaru,PE,Nordeste,101129,ENGENHARIA CIVIL,Bacharelado,Integral,A,Ampla concorrência,0,40,691.15,69.0,580.0,UNIVERSIDADE FEDERAL DE PERNAMBUCO (UFPE),Recife,PE,5,4,RECIFE,2611606,1488920.0,PE,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1 - Metrópole - Integrante de Arranjo Populacional,3002145.59898624,2294139.05
2023,1,580,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Universidade,Pública Federal,Campus do Agreste Caruaru,Caruaru,PE,Nordeste,101086,CIÊNCIAS ECONÔMICAS,Bacharelado,Noturno,A,Ampla concorrência,0,50,684.7,88.0,580.0,UNIVERSIDADE FEDERAL DE PERNAMBUCO (UFPE),Recife,PE,5,4,RECIFE,2611606,1488920.0,PE,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1 - Metrópole - Integrante de Arranjo Populacional,3002145.59898624,2294139.05
2023,1,580,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Universidade,Pública Federal,Campus do Agreste Caruaru,Caruaru,PE,Nordeste,1596096,INTERDISCIPLINAR EM CIÊNCIA E TECNOLOGIA,Bacharelado,Integral,A,Ampla concorrência,0,20,660.96,17.0,580.0,UNIVERSIDADE FEDERAL DE PERNAMBUCO (UFPE),Recife,PE,5,4,RECIFE,2611606,1488920.0,PE,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1 - Metrópole - Integrante de Arranjo Populacional,3002145.59898624,2294139.05
2023,1,580,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Universidade,Pública Federal,Campus do Agreste Caruaru,Caruaru,PE,Nordeste,118096,FÍSICA,Licenciatura,Noturno,A,Ampla concorrência,0,40,653.82,41.0,580.0,UNIVERSIDADE FEDERAL DE PERNAMBUCO (UFPE),Recife,PE,5,4,RECIFE,2611606,1488920.0,PE,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1 - Metrópole - Integrante de Arranjo Populacional,3002145.59898624,2294139.05
2023,1,580,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Universidade,Pública Federal,Campus do Agreste Caruaru,Caruaru,PE,Nordeste,118100,MATEMÁTICA,Licenciatura,Noturno,A,Ampla concorrência,0,40,708.58,45.0,580.0,UNIVERSIDADE FEDERAL DE PERNAMBUCO (UFPE),Recife,PE,5,4,RECIFE,2611606,1488920.0,PE,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1 - Metrópole - Integrante de Arranjo Populacional,3002145.59898624,2294139.05
