SG_IES,DS_CATEGORIA_ADM,SG_UF_CAMPUS,DS_REGIAO_CAMPUS,NO_MUNICIPIO_CAMPUS,NO_CURSO,DS_GRAU,DS_TURNO,QT_VAGAS_CONCORRENCIA,QT_INSCRICAO,CI,IGC,POP,HIERARQUIA_URBANA,COD_HIERARQUIA_URBANA,GRUPO_HIERARQUIA_URBANA,IA,IA_Q5,NU_NOTACORTE,curso_smoothed
UFPE,Pública Federal,PE,Nordeste,Caruaru,QUÍMICA,Licenciatura,Noturno,40,28.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,625.85,604.450563655826
UFPE,Pública Federal,PE,Nordeste,Caruaru,MEDICINA,Bacharelado,Integral,40,221.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,854.48,747.3508917752739
UFPE,Pública Federal,PE,Nordeste,Caruaru,PEDAGOGIA,Licenciatura,Noturno,40,150.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,652.25,606.1804784005626
UFPE,Pública Federal,PE,Nordeste,Caruaru,COMUNICAÇÃO SOCIAL,Bacharelado,Integral,20,37.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,715.56,645.970918089429
UFPE,Pública Federal,PE,Nordeste,Caruaru,ENGENHARIA DE PRODUÇÃO,Bacharelado,Integral,40,21.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,671.32,657.0309190040646
UFPE,Pública Federal,PE,Nordeste,Caruaru,ENGENHARIA CIVIL,Bacharelado,Integral,40,69.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,691.15,671.3643818432049
UFPE,Pública Federal,PE,Nordeste,Caruaru,CIÊNCIAS ECONÔMICAS,Bacharelado,Noturno,50,88.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,684.7,662.5125856707309
UFPE,Pública Federal,PE,Nordeste,Caruaru,INTERDISCIPLINAR EM CIÊNCIA E TECNOLOGIA,Bacharelado,Integral,20,17.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,660.96,635.4065052878834
UFPE,Pública Federal,PE,Nordeste,Caruaru,FÍSICA,Licenciatura,Noturno,40,41.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,653.82,608.4023307273512
UFPE,Pública Federal,PE,Nordeste,Caruaru,MATEMÁTICA,Licenciatura,Noturno,40,45.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,708.58,604.4228834847912
UFPE,Pública Federal,PE,Nordeste,Caruaru,ADMINISTRAÇÃO,Bacharelado,Matutino,40,80.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,675.49,645.2301384306802
UFPE,Pública Federal,PE,Nordeste,Caruaru,DESIGN,Bacharelado,Noturno,40,72.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,702.71,660.4033811309711
UFPE,Pública Federal,PE,Nordeste,Caruaru,ADMINISTRAÇÃO,Bacharelado,Noturno,40,109.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,697.04,645.2301384306802
UFPE,Pública Federal,PE,Nordeste,Caruaru,DESIGN,Bacharelado,Integral,40,56.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,678.71,660.4033811309711
UNIFESSPA,Pública Federal,PA,Norte,Santana do Araguaia,ARQUITETURA E URBANISMO,Bacharelado,Integral,13,75.0,4,4,266533.0,Capital Regional C,2C,2,454538.74301597604,361268.25,753.34,680.6231631191843
UNIFESSPA,Pública Federal,PA,Norte,Santana do Araguaia,MATEMÁTICA,Licenciatura,Noturno,13,37.0,4,4,266533.0,Capital Regional C,2C,2,454538.74301597604,361268.25,621.63,604.4228834847912
UFPE,Pública Federal,PE,Nordeste,Recife,CIÊNCIAS ECONÔMICAS,Bacharelado,Noturno,30,209.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,688.6,662.5125856707309
UFPE,Pública Federal,PE,Nordeste,Recife,HISTÓRIA,Licenciatura,Vespertino,10,74.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,686.69,633.8766325788527
UFPE,Pública Federal,PE,Nordeste,Recife,SERVIÇO SOCIAL,Bacharelado,Vespertino,30,221.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,631.21,632.4111425455936
UFPE,Pública Federal,PE,Nordeste,Recife,ADMINISTRAÇÃO,Bacharelado,Noturno,50,336.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,679.99,645.2301384306802
UFPE,Pública Federal,PE,Nordeste,Recife,ARQUEOLOGIA,Bacharelado,Integral,15,130.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,634.47,642.3353967738342
UFPE,Pública Federal,PE,Nordeste,Recife,BIBLIOTECONOMIA,Bacharelado,Vespertino,27,104.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,615.57,632.0606503133456
UFPE,Pública Federal,PE,Nordeste,Recife,NUTRIÇÃO,Bacharelado,Integral,30,611.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,706.63,673.6080649767703
UFPE,Pública Federal,PE,Nordeste,Recife,SECRETARIADO EXECUTIVO,Bacharelado,Noturno,50,210.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,597.86,634.927613709348
UFPE,Pública Federal,PE,Nordeste,Recife,HOTELARIA,Bacharelado,Integral,15,83.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,614.45,637.7899422283797
UFPE,Pública Federal,PE,Nordeste,Recife,ODONTOLOGIA,Bacharelado,Noturno,20,404.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,745.15,693.9886464017679
UFPE,Pública Federal,PE,Nordeste,Recife,PEDAGOGIA,Licenciatura,Vespertino,25,186.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,618.89,606.1804784005626
UFPE,Pública Federal,PE,Nordeste,Recife,MATEMÁTICA,Bacharelado,Integral,15,68.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,695.77,604.4228834847912
UFPE,Pública Federal,PE,Nordeste,Recife,GEOGRAFIA,Bacharelado,Vespertino,30,151.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,616.76,601.163648285659
UFPE,Pública Federal,PE,Nordeste,Recife,QUÍMICA,Licenciatura,Noturno,15,59.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,610.57,604.450563655826
UFPE,Pública Federal,PE,Nordeste,Recife,ENGENHARIA BIOMÉDICA,Bacharelado,Integral,15,117.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,750.14,650.0576758973751
UFPE,Pública Federal,PE,Nordeste,Recife,ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA,Bacharelado,Integral,15,68.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,588.89,641.0649452165669
UFPE,Pública Federal,PE,Nordeste,Recife,CINEMA E AUDIOVISUAL,Bacharelado,Vespertino,25,281.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,703.86,654.3609164929175
UFPE,Pública Federal,PE,Nordeste,Recife,LETRAS - FRANCÊS,Licenciatura,Vespertino,7,29.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,627.04,637.2575314234634
UFPE,Pública Federal,PE,Nordeste,Recife,LETRAS - PORTUGUÊS,Licenciatura,Vespertino,30,167.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,654.45,626.5265981322199
UFPE,Pública Federal,PE,Nordeste,Recife,SERVIÇO SOCIAL,Bacharelado,Matutino,30,208.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,645.37,632.4111425455936
UFPE,Pública Federal,PE,Nordeste,Recife,CIÊNCIA POLÍTICA,Bacharelado,Integral,25,151.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,652.23,645.4282419351109
UFPE,Pública Federal,PE,Nordeste,Recife,LETRAS - ESPANHOL,Licenciatura,Noturno,15,99.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,609.91,626.6639836466788
UFPE,Pública Federal,PE,Nordeste,Recife,JORNALISMO,Bacharelado,Vespertino,25,307.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,702.87,662.9502884146331
UFPE,Pública Federal,PE,Nordeste,Recife,LETRAS,Bacharelado,Vespertino,15,117.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,661.29,634.7926391426996
UFPE,Pública Federal,PE,Nordeste,Recife,TEATRO,Licenciatura,Integral,17,104.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,650.53,640.3770243008119
UFPE,Pública Federal,PE,Nordeste,Recife,FILOSOFIA,Bacharelado,Vespertino,10,52.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,634.4,619.3629036427662
UFPE,Pública Federal,PE,Nordeste,Recife,FONOAUDIOLOGIA,Bacharelado,Integral,20,262.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,692.16,655.0552473906013
UFPE,Pública Federal,PE,Nordeste,Recife,GEOGRAFIA,Licenciatura,Matutino,30,147.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,623.14,601.163648285659
UFPE,Pública Federal,PE,Nordeste,Recife,ARTES VISUAIS,Licenciatura,Integral,17,139.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,704.63,655.5429267608254
UFPE,Pública Federal,PE,Nordeste,Recife,LETRAS - ESPANHOL,Licenciatura,Matutino,15,85.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,601.71,626.6639836466788
UFPE,Pública Federal,PE,Nordeste,Recife,LETRAS - INGLÊS,Licenciatura,Matutino,15,180.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,670.01,635.1459873393643
UFPE,Pública Federal,PE,Nordeste,Recife,CIÊNCIAS SOCIAIS,Bacharelado,Vespertino,30,121.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,665.17,628.3219411685319
UFPE,Pública Federal,PE,Nordeste,Recife,ESTATÍSTICA,Bacharelado,Integral,15,63.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,648.36,640.1911732778498
UFPE,Pública Federal,PE,Nordeste,Recife,ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA,Bacharelado,Noturno,15,70.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,595.44,641.0649452165669
UFPE,Pública Federal,PE,Nordeste,Recife,FARMÁCIA,Bacharelado,Integral,45,679.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,697.0,673.8188041025329
UFPE,Pública Federal,PE,Nordeste,Recife,HISTÓRIA,Licenciatura,Noturno,27,150.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,672.14,633.8766325788527
UFPE,Pública Federal,PE,Nordeste,Recife,LETRAS - PORTUGUÊS,Licenciatura,Noturno,15,111.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,656.32,626.5265981322199
UFPE,Pública Federal,PE,Nordeste,Recife,PEDAGOGIA,Licenciatura,Noturno,50,509.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,614.33,606.1804784005626
UFPE,Pública Federal,PE,Nordeste,Recife,CIÊNCIAS BIOLÓGICAS ,Bacharelado,Integral,50,253.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,664.57,625.3084373191754
UFPE,Pública Federal,PE,Nordeste,Recife,GEOGRAFIA,Licenciatura,Noturno,30,168.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,614.38,601.163648285659
UFPE,Pública Federal,PE,Nordeste,Recife,CIÊNCIAS ATUARIAIS,Bacharelado,Integral,15,80.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,628.75,645.9359813104901
UFPE,Pública Federal,PE,Nordeste,Recife,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Integral,50,535.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,794.89,694.8344160434496
UFPE,Pública Federal,PE,Nordeste,Recife,EXPRESSÃO GRÁFICA,Licenciatura,Integral,15,80.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,610.97,645.3578645766205
UFPE,Pública Federal,PE,Nordeste,Recife,ARTES VISUAIS,Bacharelado,Matutino,10,176.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,745.29,655.5429267608254
UFPE,Pública Federal,PE,Nordeste,Recife,DESIGN,Bacharelado,Integral,35,398.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,695.88,660.4033811309711
UFPE,Pública Federal,PE,Nordeste,Recife,CIÊNCIAS BIOLÓGICAS - ÊNFASE EM CIÊNCIAS AMBIENTAIS,Bacharelado,Integral,40,135.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,627.23,644.2389573051154
UFPE,Pública Federal,PE,Nordeste,Recife,GESTÃO DA INFORMAÇÃO,Bacharelado,Noturno,27,133.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,667.48,646.5767930103867
UFPE,Pública Federal,PE,Nordeste,Recife,QUÍMICA INDUSTRIAL,Bacharelado,Noturno,20,122.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,632.11,638.0557298952236
UFPE,Pública Federal,PE,Nordeste,Recife,HISTÓRIA,Bacharelado,Vespertino,17,117.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,674.94,633.8766325788527
UFPE,Pública Federal,PE,Nordeste,Recife,MATEMÁTICA,Licenciatura,Noturno,20,129.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,667.11,604.4228834847912
UFPE,Pública Federal,PE,Nordeste,Recife,TURISMO,Bacharelado,Noturno,17,107.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,624.43,621.9331390889515
UFPE,Pública Federal,PE,Nordeste,Recife,SISTEMAS DE INFORMAÇÃO,Bacharelado,Integral,35,224.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,796.63,666.5640524812374
UFPE,Pública Federal,PE,Nordeste,Recife,PEDAGOGIA,Licenciatura,Matutino,50,400.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,626.29,606.1804784005626
UFPE,Pública Federal,PE,Nordeste,Recife,TURISMO,Bacharelado,Vespertino,17,100.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,645.57,621.9331390889515
UFPE,Pública Federal,PE,Nordeste,Recife,ENFERMAGEM,Bacharelado,Integral,40,771.0,5,4,1488920.0,Metrópole - Integrante de Arranjo Populacional,1C - Integrante de Arranjo Populacional,1,3002145.59898624,2294139.05,716.0,686.4201121504061
